ID	Name	Latitude	Longitude	Address	Zipcode	Type	Website	drivingTime	walkingTime	transitTime	nomalized_crime_score	foodscore	gasscore	entertainmentscore	clusters
1	@1377	33.8601	-84.33292	1377 Dresden Dr NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/%401377-atlanta-ga-5XqhDD/	1181	9893	2323	100	79.67032967	3.846153846	45.36082474	4
2	1016 Lofts	33.78216	-84.41211	1016 Howell Mill Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/1016-lofts-atlanta-ga-5XhtNj/	256	1073	626	77.40813393	89.01098901	38.46153846	93.29896907	7
3	1045 on the Park Apartment Homes	33.78297	-84.37967	1045 Piedmont Ave NE, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/1045-on-the-park-apartment-homes-atlanta-ga-5Xm2YJ/	414	1696	1141	81.3939291	90.10989011	50	84.53608247	3
4	1050 Lenox Park Apartments	33.84786	-84.34849	1050 Lenox Park Blvd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/1050-lenox-park-apartments-atlanta-ga-5XhtMQ/	1025	8598	2847	98.65639163	79.67032967	23.07692308	43.29896907	9
5	1099 Alta Ave.	33.76055	-84.35191	1099 Alta Ave NE, Atlanta, GA	30307	Apartment	http://www.zillow.com/b/1099-Alta-Ave.-Atlanta-GA/33.76055,-84.35191_ll/	818	4635	2760	95.1604403	89.56043956	26.92307692	86.59793814	3
6	1105 Town Brookhaven	33.871619	-84.338379	1105 Town Blvd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/1105-town-brookhaven-atlanta-ga-5gpsqY/	1366	10728	3153	100	79.12087912	7.692307692	60.82474227	4
7	1500 Oak	33.823356	-84.230138	1500 Post Oak Dr, Clarkston, GA	30021	Apartment	http://www.zillow.com/b/1500-oak-clarkston-ga-5XhtPF/	1534	14363	4703	99.29723698	78.02197802	15.38461538	53.60824742	4
8	1824 DeFoor	33.8048	-84.42371	1824 Defoor Ave NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/1824-defoor-atlanta-ga-65dz46/	620	3292	1806	98.65117677	81.31868132	38.46153846	92.26804124	3
9	195 Randolph Street NE	33.75965	-84.3674	195 Randolph St NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/195-Randolph-Street-NE-Atlanta-GA/33.75965,-84.3674_ll/	589	3590	2415	89.24356394	90.65934066	30.76923077	93.29896907	3
10	2460 Peachtree Apartments	33.82222	-84.3886	2460 Peachtree Rd NW, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/2460-peachtree-apartments-atlanta-ga-5XhtTW/	874	4713	3299	98.32034996	85.16483516	15.38461538	92.78350515	0
